Years_Experience,Education_Level,Age,Gender,City_Type,Hours_Worked,Job_Satisfaction,Department,Salary
6,1,41,0,0,20,3,3,42514775
19,1,40,0,2,30,2,0,59286382
28,3,40,1,1,54,3,1,92613319
14,5,33,0,0,48,3,0,69561591
10,2,58,1,1,56,5,0,61718168
7,4,38,0,1,36,4,1,57914557
28,2,58,1,0,58,5,3,97085978
20,5,49,0,2,47,2,0,90734223
6,1,56,0,1,48,2,0,48364100
25,1,39,1,0,22,5,0,75901817
18,5,35,0,1,29,4,3,87323145
22,1,56,0,2,33,5,0,73416300
10,1,28,0,2,31,2,2,46451801
10,1,34,0,2,49,4,1,48271061
23,4,39,0,0,51,2,2,85897259
20,4,58,0,0,51,4,3,88733407
3,3,34,0,2,51,4,0,41474842
7,2,57,1,0,45,5,1,56406208
23,5,52,1,2,20,5,0,86655860
2,5,23,0,0,21,5,3,51591709
21,5,37,0,2,36,4,1,90857350
20,3,30,0,1,49,4,2,79303784
1,4,30,1,2,58,2,1,50187367
23,3,59,1,2,26,3,0,80432090
11,5,32,0,0,46,5,1,75395499
29,2,43,1,0,28,2,3,84230901
5,1,54,0,0,41,2,3,46490769
1,4,57,0,0,53,1,1,48746511
27,4,44,0,0,20,5,3,92662634
20,3,55,0,0,28,2,3,77670925
0,4,30,1,1,39,1,3,41443508
11,5,45,1,2,38,5,2,70735489
25,5,29,0,2,55,4,0,93699682
21,3,28,1,2,59,1,3,79803829
28,5,57,1,1,23,4,1,106756521
11,2,39,0,2,28,3,3,54925971
24,3,24,1,1,41,3,2,83525660
16,2,49,0,1,37,3,1,64149950
26,1,27,0,1,31,3,0,70873060
26,2,42,0,2,58,2,1,82130586
9,1,49,0,1,28,3,1,46502838
27,1,22,1,2,25,2,1,68078979
27,2,57,0,2,38,2,1,87647519
15,3,42,1,0,26,5,3,66243604
14,5,56,0,0,35,2,0,72203307
29,5,34,0,1,24,2,3,101596119
29,1,31,1,1,35,3,2,83226409
14,1,31,0,2,20,2,2,44523088
29,3,34,1,1,56,4,1,94911344
18,4,58,1,1,58,3,3,87340929
11,2,59,0,2,38,1,3,66335038
22,1,45,0,1,56,3,0,69175390
19,5,23,0,1,36,2,0,77930360
24,3,43,0,2,45,4,0,85542627
2,2,38,0,2,41,3,3,44478770
4,3,57,0,0,27,4,0,51785898
18,2,35,1,2,52,1,0,65289520
6,2,31,1,0,21,1,0,35580619
20,1,56,0,1,49,5,1,79176645
8,3,46,1,2,39,5,2,59211656
6,3,24,1,2,37,3,2,49283784
17,5,59,0,2,29,5,3,90270428
3,5,38,0,1,43,4,3,62834462
24,1,33,1,0,23,5,1,68597619
27,1,45,0,1,56,4,2,88549671
13,4,50,1,1,23,5,0,67736340
17,5,46,0,2,32,5,0,85456773
25,2,57,1,0,44,5,3,92339234
8,3,47,1,1,32,2,2,57907176
25,1,59,1,2,37,2,3,83615270
20,3,22,1,1,43,5,3,78550851
1,3,41,0,1,21,4,0,37496682
19,4,49,0,2,52,3,0,85036334
27,5,37,1,2,38,1,2,95183553
14,1,38,1,0,28,2,3,54794927
27,3,49,0,1,47,5,1,92870663
6,1,33,0,2,54,1,2,44922719
11,2,48,1,2,58,2,3,63476637
28,4,51,1,0,29,3,2,95039605
7,2,55,1,0,20,4,2,48415160
14,1,58,1,2,40,5,2,67803419
2,1,27,1,0,28,3,1,30729173
13,5,28,0,2,34,2,1,69959315
16,3,53,1,1,54,5,0,78692934
3,3,53,0,0,24,1,0,38379938
17,2,46,0,1,41,4,3,68211204
7,4,54,0,1,42,2,2,63522432
3,3,28,1,1,26,4,3,40038734
1,5,33,0,2,42,5,0,50864290
29,2,37,0,1,44,3,1,86579143
5,2,37,0,1,46,4,0,47696600
21,5,57,0,1,25,1,3,95632009
9,4,34,1,2,53,2,0,62632908
3,5,28,1,1,28,1,3,54394880
21,4,57,0,1,52,4,3,94645237
28,5,30,0,0,25,3,3,96963069
17,5,53,1,2,56,3,3,95753337
25,1,32,1,1,50,1,0,73004544
11,2,29,1,0,53,5,3,64612840
1,5,54,0,2,48,5,3,61920938
9,5,44,1,2,33,3,2,69569089
29,3,46,0,2,55,1,3,96156941
3,2,29,0,2,55,1,0,34839941
13,3,43,1,2,34,1,3,67751879
15,2,25,0,2,27,4,1,60817886
14,3,24,1,1,45,5,1,66453620
7,5,50,0,1,55,5,3,76413020
13,5,50,1,1,40,4,1,80957770
22,1,55,0,1,47,2,1,79490277
27,3,55,0,0,23,4,0,91659298
24,4,49,1,1,35,1,2,92367870
29,1,34,1,2,41,4,1,79073301
7,3,36,1,1,31,1,1,45499650
20,3,44,1,1,35,3,2,76089888
15,1,47,0,2,59,1,2,62435211
12,5,25,1,1,57,5,1,71472622
17,3,47,1,1,56,4,3,84146820
14,5,30,0,1,48,1,1,74736154
20,1,26,1,0,37,2,3,67562469
23,5,53,1,1,29,3,3,94570319
25,2,41,0,2,58,2,3,86736363
24,4,32,1,2,37,2,2,88970326
27,3,36,1,1,20,2,1,83746374
27,4,53,1,1,58,3,1,104496319
27,5,49,1,1,40,3,0,103955156
12,3,43,1,2,20,3,2,60015878
8,5,38,1,2,34,3,0,58415839
28,2,47,0,0,23,2,0,76850506
14,1,28,1,0,39,5,3,55386189
12,3,47,0,0,29,5,2,64953293
0,2,46,0,2,42,3,0,37871711
24,2,31,0,0,53,4,1,74973002
6,3,40,0,1,52,1,0,50612771
8,5,32,1,1,53,4,2,67747984
23,2,34,1,2,58,4,1,80111625
0,4,29,1,0,29,4,1,37305166
11,2,25,0,1,39,5,1,48353159
7,5,52,1,2,20,1,3,66461969
23,5,49,1,0,32,4,1,96780934
10,4,32,1,1,20,3,3,58639933
18,2,22,0,0,24,5,3,59995507
16,5,59,0,2,35,3,0,84789069
7,3,45,1,0,34,3,0,54754326
2,1,52,0,2,47,4,1,39950317
2,1,47,0,0,50,3,2,44263978
0,1,26,1,1,42,1,1,27922875
26,2,41,0,2,36,3,0,81605626
